Chrom	Start	End	uniprotId	Gene	exp.count	peak.count
chr6	132768208	132768244	P49711	CTCF	506	2215
chr12	121794354	121794379	P49711	CTCF	538	2215
chr11	75248820	75248845	P49711	CTCF	544	2207
chr10	48656408	48656433	P49711	CTCF	522	2206
chr22	46116639	46116670	P49711	CTCF	530	2205
chr16	74813272	74813300	P49711	CTCF	527	2205
chr17	31525525	31525548	P49711	CTCF	538	2205
chr14	21092657	21092682	P49711	CTCF	541	2205
chr8	22756233	22756271	P49711	CTCF	526	2204
chr11	65780090	65780117	P49711	CTCF	529	2204
chr1	18907127	18907160	P49711	CTCF	534	2203
chr10	95694182	95694209	P49711	CTCF	542	2200
chr19	51158766	51158809	P49711	CTCF	527	2200
chr9	613981	614014	P49711	CTCF	524	2200
chr2	26503539	26503576	P49711	CTCF	516	2197
chr3	20039962	20039999	P49711	CTCF	508	2195
chr11	36747253	36747278	P49711	CTCF	538	2194
chr14	55271250	55271276	P49711	CTCF	543	2193
chr15	66903836	66903861	P49711	CTCF	540	2191
chr2	117814518	117814543	P49711	CTCF	541	2189
chr11	6353595	6353626	P49711	CTCF	536	2184
chr6	72412364	72412389	P49711	CTCF	543	2182
chr2	219642653	219642678	P49711	CTCF	540	2181
chr2	143034501	143034528	P49711	CTCF	529	2179
chr1	145892018	145892047	P49711	CTCF	538	2178
chr2	30165182	30165209	P49711	CTCF	537	2177
chr16	56964715	56964742	P49711	CTCF	537	2177
chr2	219294994	219295021	P49711	CTCF	534	2174
chr22	20564476	20564503	P49711	CTCF	541	2174
chr7	95690620	95690654	P49711	CTCF	510	2174
chr5	129768045	129768070	P49711	CTCF	536	2173
chr11	10307965	10308000	P49711	CTCF	534	2172
chr2	44479577	44479602	P49711	CTCF	535	2169
chr1	159891738	159891763	P49711	CTCF	539	2167
chr22	36856524	36856549	P49711	CTCF	539	2164
chr20	1503807	1503832	P49711	CTCF	538	2164
chr6	131628365	131628390	P49711	CTCF	538	2163
chr3	118884857	118884892	P49711	CTCF	531	2163
chr13	48769286	48769311	P49711	CTCF	540	2162
chr1	211134269	211134298	P49711	CTCF	524	2161
chr21	25801721	25801746	P49711	CTCF	540	2161
chr12	57239237	57239262	P49711	CTCF	541	2160
chr5	139968949	139968974	P49711	CTCF	537	2159
chr19	46347469	46347496	P49711	CTCF	532	2159
chr10	72048704	72048729	P49711	CTCF	542	2159
chr11	64355245	64355276	P49711	CTCF	519	2157
chr9	36008951	36008978	P49711	CTCF	539	2157
chr9	97411867	97411896	P49711	CTCF	539	2156
chr16	88737491	88737520	P49711	CTCF	529	2154
chr15	77633634	77633659	P49711	CTCF	539	2152
chr12	57905512	57905537	P49711	CTCF	546	2148
chr11	61129941	61129966	P49711	CTCF	541	2148
chr15	78108493	78108520	P49711	CTCF	541	2146
chr15	89358790	89358828	P49711	CTCF	533	2145
chr7	142783479	142783504	P49711	CTCF	537	2145
chr1	85308315	85308340	P49711	CTCF	531	2144
chr20	4172649	4172674	P49711	CTCF	532	2142
chr1	94045708	94045743	P49711	CTCF	519	2136
chr7	26667722	26667749	P49711	CTCF	526	2134
chr10	95183761	95183790	P49711	CTCF	511	2133
chr3	123642563	123642596	P49711	CTCF	530	2132
chr12	57583477	57583506	P49711	CTCF	538	2131
chr12	54379814	54379843	P49711	CTCF	542	2130
chr11	118659634	118659661	P49711	CTCF	537	2129
chr5	132064857	132064880	P49711	CTCF	536	2129
chr8	46957153	46957182	P49711	CTCF	528	2128
chr4	147866971	147866996	P49711	CTCF	537	2127
chr14	22570522	22570553	P49711	CTCF	529	2127
chr5	50963089	50963114	P49711	CTCF	536	2126
chr6	125956774	125956805	P49711	CTCF	537	2122
chr7	151350455	151350478	P49711	CTCF	532	2121
chr12	52213662	52213689	P49711	CTCF	540	2120
chr3	48436160	48436185	P49711	CTCF	542	2119
chr6	37018370	37018418	P49711	CTCF	533	2119
chr8	84626275	84626304	P49711	CTCF	534	2118
chr5	175729978	175730005	P49711	CTCF	540	2117
chr4	5998505	5998538	P49711	CTCF	531	2117
chr2	237512938	237512963	P49711	CTCF	537	2116
chr2	28566914	28566939	P49711	CTCF	538	2115
chr5	138036138	138036167	P49711	CTCF	538	2114
chr16	23182516	23182545	P49711	CTCF	512	2114
chr15	45118273	45118298	P49711	CTCF	538	2113
chr3	116771010	116771035	P49711	CTCF	533	2110
chr17	28548318	28548347	P49711	CTCF	536	2108
chr10	86939566	86939589	P49711	CTCF	541	2107
chr1	25895561	25895586	P49711	CTCF	540	2105
chr20	35954573	35954600	P49711	CTCF	534	2105
chr5	180293652	180293677	P49711	CTCF	539	2105
chr11	130862130	130862155	P49711	CTCF	538	2105
chr2	209423860	209423893	P49711	CTCF	505	2102
chr4	10018922	10018949	P49711	CTCF	509	2101
chr2	222690756	222690781	P49711	CTCF	541	2101
chr8	138727572	138727599	P49711	CTCF	541	2100
chr20	58210002	58210027	P49711	CTCF	537	2100
chr12	52025767	52025802	P49711	CTCF	538	2100
chr2	46987189	46987214	P49711	CTCF	538	2099
chr8	20376383	20376408	P49711	CTCF	537	2097
chr11	2532928	2532955	P49711	CTCF	537	2097
chr5	95781219	95781252	P49711	CTCF	534	2096
chr1	158087500	158087527	P49711	CTCF	533	2096
chr11	60775527	60775556	P49711	CTCF	535	2094
chr11	66222847	66222870	P49711	CTCF	542	2093
chr10	109884337	109884366	P49711	CTCF	539	2091
chr13	98673184	98673217	P49711	CTCF	533	2091
chr5	43389918	43389947	P49711	CTCF	528	2090
chr18	46658439	46658470	P49711	CTCF	532	2090
chr1	235504701	235504732	P49711	CTCF	529	2090
chr2	169824948	169824973	P49711	CTCF	530	2087
chr9	764199	764228	P49711	CTCF	524	2087
chr17	34200107	34200130	P49711	CTCF	541	2085
chr5	142548942	142548969	P49711	CTCF	525	2083
chr9	124712109	124712134	P49711	CTCF	538	2083
chr2	99490479	99490520	P49711	CTCF	523	2082
chr5	171418848	171418873	P49711	CTCF	532	2081
chr21	43939232	43939257	P49711	CTCF	536	2080
chr7	33109507	33109540	P49711	CTCF	514	2079
chr10	101602942	101602973	P49711	CTCF	532	2077
chr9	137236635	137236662	P49711	CTCF	538	2077
chr8	97560163	97560198	P49711	CTCF	530	2076
chr3	46488858	46488883	P49711	CTCF	538	2075
chr11	2892244	2892269	P49711	CTCF	531	2074
chr18	59308639	59308678	P49711	CTCF	519	2074
chr12	63843992	63844021	P49711	CTCF	521	2072
chr19	55653786	55653809	P49711	CTCF	542	2071
chr16	2003982	2004007	P49711	CTCF	536	2071
chr1	47437923	47437954	P49711	CTCF	527	2070
chr5	54517574	54517601	P49711	CTCF	532	2069
chr5	157743657	157743682	P49711	CTCF	528	2069
chr1	230642345	230642370	P49711	CTCF	541	2069
chr12	53676219	53676244	P49711	CTCF	543	2068
chr10	96375469	96375494	P49711	CTCF	538	2067
chr6	36680610	36680635	P49711	CTCF	534	2066
chr11	61899278	61899305	P49711	CTCF	541	2066
chr15	56246197	56246220	P49711	CTCF	543	2065
chr7	135281651	135281676	P49711	CTCF	537	2065
chr17	75515903	75515936	P49711	CTCF	532	2065
chr17	38606537	38606564	P49711	CTCF	525	2065
chr11	88544539	88544564	P49711	CTCF	535	2064
chr8	70608457	70608492	P49711	CTCF	522	2064
chr1	66242843	66242868	P49711	CTCF	539	2062
chr14	96100733	96100759	P49711	CTCF	535	2062
chr10	130190266	130190291	P49711	CTCF	508	2062
chr2	134451035	134451060	P49711	CTCF	537	2061
chr19	34973335	34973360	P49711	CTCF	539	2060
chr1	154999275	154999310	P49711	CTCF	537	2059
chr11	82695889	82695916	P49711	CTCF	517	2058
chr15	40274860	40274883	P49711	CTCF	543	2058
chr8	70148151	70148188	P49711	CTCF	518	2057
chr8	17577020	17577045	P49711	CTCF	524	2057
chr14	24679110	24679135	P49711	CTCF	541	2056
chr19	42108681	42108704	P49711	CTCF	540	2055
chr17	49408139	49408172	P49711	CTCF	529	2055
chr7	41943208	41943241	P49711	CTCF	534	2053
chr13	75482646	75482679	P49711	CTCF	527	2052
chr16	81035704	81035731	P49711	CTCF	541	2052
chr9	135412750	135412775	P49711	CTCF	537	2051
chr10	4849831	4849854	P49711	CTCF	542	2051
chr4	48963240	48963264	P49711	CTCF	535	2050
chr17	75589207	75589232	P49711	CTCF	510	2049
chr11	114036225	114036256	P49711	CTCF	527	2049
chr3	50274469	50274504	P49711	CTCF	525	2048
chr17	46193517	46193554	P49711	CTCF	511	2047
chr2	224284418	224284452	P49711	CTCF	513	2047
chr14	67360114	67360142	P49711	CTCF	530	2046
chr6	25992667	25992694	P49711	CTCF	534	2046
chr9	136944854	136944879	P49711	CTCF	530	2045
chr15	74835434	74835467	P49711	CTCF	531	2042
chr3	13650617	13650646	P49711	CTCF	535	2042
chr11	64847278	64847305	P49711	CTCF	540	2041
chr7	91880799	91880828	P49711	CTCF	533	2040
chr2	200963344	200963381	P49711	CTCF	514	2040
chr15	31488786	31488813	P49711	CTCF	537	2038
chr1	223081567	223081594	P49711	CTCF	531	2037
chr11	3217320	3217351	P49711	CTCF	527	2037
chr3	64023563	64023588	P49711	CTCF	539	2036
chr9	126499352	126499377	P49711	CTCF	534	2036
chr4	80184242	80184271	P49711	CTCF	511	2036
chr1	18913228	18913253	P49711	CTCF	540	2035
chr16	50025011	50025036	P49711	CTCF	541	2035
chr11	64723621	64723656	P49711	CTCF	528	2034
chr3	38496238	38496271	P49711	CTCF	530	2034
chr1	85259763	85259786	P49711	CTCF	536	2034
chr2	218980172	218980209	P49711	CTCF	535	2033
chr10	102399657	102399692	P49711	CTCF	526	2032
chr10	100562152	100562179	P49711	CTCF	513	2032
chr22	22959365	22959390	P49711	CTCF	533	2031
chr13	91349079	91349104	P49711	CTCF	527	2029
chr20	49334100	49334125	P49711	CTCF	543	2029
chr5	172716956	172716979	P49711	CTCF	535	2029
chr7	100564054	100564091	P49711	CTCF	537	2029
chr8	141347094	141347127	P49711	CTCF	535	2028
chr8	126876758	126876783	P49711	CTCF	538	2028
chr19	56393271	56393311	P49711	CTCF	449	2026
chr1	155017677	155017702	P49711	CTCF	538	2026
chr14	24365788	24365815	P49711	CTCF	520	2026
chr12	55619809	55619838	P49711	CTCF	524	2025
chr14	106417744	106417777	P49711	CTCF	500	2025
chr1	7667708	7667731	P49711	CTCF	542	2025
chr8	81780665	81780700	P49711	CTCF	534	2024
chr11	118928210	118928243	P49711	CTCF	535	2024
chr4	111642268	111642295	P49711	CTCF	517	2024
chr5	163408614	163408649	P49711	CTCF	532	2024
chr3	184561407	184561434	P49711	CTCF	539	2024
chr1	21659262	21659291	P49711	CTCF	532	2023
chr3	99645436	99645468	P49711	CTCF	506	2022
chr10	43205112	43205149	P49711	CTCF	521	2022
chr14	93939787	93939820	P49711	CTCF	525	2022
chr17	27381150	27381175	P49711	CTCF	538	2021
chr17	57243288	57243313	P49711	CTCF	542	2020
chr7	25566058	25566081	P49711	CTCF	541	2015
chr5	138352514	138352541	P49711	CTCF	539	2014
chr9	96218331	96218370	P49711	CTCF	535	2014
chr5	127493091	127493124	P49711	CTCF	509	2014
chr3	52001645	52001670	P49711	CTCF	536	2014
chr5	91385040	91385065	P49711	CTCF	519	2012
chr2	108636526	108636555	P49711	CTCF	536	2012
chr4	112524032	112524062	P49711	CTCF	515	2010
chr10	120942991	120943028	P49711	CTCF	533	2009
chr12	48814772	48814799	P49711	CTCF	530	2009
chr2	60674737	60674760	P49711	CTCF	535	2009
chr8	48925776	48925802	P49711	CTCF	523	2009
chr3	168047375	168047402	P49711	CTCF	514	2007
chr15	94120078	94120101	P49711	CTCF	534	2006
chr3	149273305	149273330	P49711	CTCF	534	2005
chr11	19071353	19071380	P49711	CTCF	539	2005
chr10	117216782	117216807	P49711	CTCF	530	2005
chr6	134174111	134174134	P49711	CTCF	532	2005
chr1	92859043	92859070	P49711	CTCF	531	2003
chr14	76784971	76784998	P49711	CTCF	533	2002
chr2	119476413	119476444	P49711	CTCF	539	2002
chr15	51381398	51381424	P49711	CTCF	536	2001
chr2	177164742	177164765	P49711	CTCF	542	2001
chr10	112140332	112140359	P49711	CTCF	531	2001
chr5	148731123	148731148	P49711	CTCF	534	2000
chr7	143215247	143215272	P49711	CTCF	534	2000
chr15	88904898	88904933	P49711	CTCF	533	2000
chr1	156385751	156385780	P49711	CTCF	537	2000
chr4	39469573	39469600	P49711	CTCF	533	1999
chr10	32346322	32346351	P49711	CTCF	529	1998
chr11	3091950	3091977	P49711	CTCF	536	1998
chr1	27395552	27395579	P49711	CTCF	539	1998
chr20	1313655	1313688	P49711	CTCF	532	1998
chr5	176660969	176660996	P49711	CTCF	534	1998
chr16	57649204	57649229	P49711	CTCF	543	1997
chr17	17356227	17356250	P49711	CTCF	541	1996
chr1	46528198	46528221	P49711	CTCF	535	1996
chr1	45304103	45304138	P49711	CTCF	516	1995
chr3	51974096	51974129	P49711	CTCF	533	1995
chr7	40134923	40134956	P49711	CTCF	530	1995
chr1	159161168	159161191	P49711	CTCF	538	1995
chr12	11486757	11486782	P49711	CTCF	535	1994
chr21	34745664	34745693	P49711	CTCF	531	1994
chr11	129364304	129364327	P49711	CTCF	537	1994
chr14	104094798	104094841	P49711	CTCF	526	1992
chr4	89111276	89111309	P49711	CTCF	519	1992
chr16	23557480	23557513	P49711	CTCF	533	1992
chr10	29998504	29998527	P49711	CTCF	537	1990
chr11	120108376	120108399	P49711	CTCF	538	1989
chr10	132223257	132223282	P49711	CTCF	528	1989
chr9	125143751	125143776	P49711	CTCF	543	1988
chr17	32319613	32319638	P49711	CTCF	537	1988
chr8	65645123	65645160	P49711	CTCF	520	1987
chr16	19886436	19886459	P49711	CTCF	541	1987
chr11	65884817	65884840	P49711	CTCF	538	1986
chr6	136550577	136550610	P49711	CTCF	510	1986
chr9	122123155	122123178	P49711	CTCF	538	1986
chr11	118907174	118907219	P49711	CTCF	535	1986
chr5	134586978	134587025	P49711	CTCF	529	1985
chr14	24431928	24431955	P49711	CTCF	540	1985
chr6	188965	188992	P49711	CTCF	531	1984
chr17	79839911	79839936	P49711	CTCF	512	1984
chr14	77301202	77301237	P49711	CTCF	526	1984
chr9	129006928	129006955	P49711	CTCF	529	1984
chr5	150544918	150544943	P49711	CTCF	534	1982
chr3	195106589	195106622	P49711	CTCF	524	1982
chr3	195271666	195271691	P49711	CTCF	527	1981
chr1	115139064	115139097	P49711	CTCF	534	1981
chr1	205273625	205273656	P49711	CTCF	540	1980
chr1	156053914	156053941	P49711	CTCF	500	1980
chr17	77430224	77430257	P49711	CTCF	530	1980
chr11	118930423	118930450	P49711	CTCF	535	1979
chr19	18866688	18866717	P49711	CTCF	530	1978
chr1	244452090	244452130	P49711	CTCF	502	1978
chr8	10590291	10590318	P49711	CTCF	535	1977
chr11	73335631	73335654	P49711	CTCF	541	1976
chr10	28382042	28382069	P49711	CTCF	535	1975
chr4	7070938	7070967	P49711	CTCF	534	1975
chr5	112160750	112160773	P49711	CTCF	536	1974
chr14	75296258	75296285	P49711	CTCF	535	1974
chr1	33633198	33633223	P49711	CTCF	539	1974
chr12	49707708	49707739	P49711	CTCF	529	1974
chr3	10739055	10739078	P49711	CTCF	534	1973
chr11	20387244	20387273	P49711	CTCF	533	1972
chr15	39580336	39580360	P49711	CTCF	529	1972
chr17	43694547	43694570	P49711	CTCF	537	1972
chr15	96357016	96357053	P49711	CTCF	535	1971
chr6	44152032	44152057	P49711	CTCF	537	1971
chr16	66608703	66608728	P49711	CTCF	532	1971
chr12	62794141	62794172	P49711	CTCF	539	1971
chr9	126860381	126860406	P49711	CTCF	531	1970
chr1	204162654	204162679	P49711	CTCF	542	1970
chr3	127575136	127575163	P49711	CTCF	537	1970
chr1	20493968	20493991	P49711	CTCF	538	1968
chr9	134170903	134170928	P49711	CTCF	540	1968
chr1	95043575	95043598	P49711	CTCF	541	1968
chr11	62612585	62612610	P49711	CTCF	515	1968
chr7	128209943	128209966	P49711	CTCF	538	1968
chr2	237572162	237572187	P49711	CTCF	536	1967
chr2	70648059	70648082	P49711	CTCF	539	1967
chr12	56126323	56126348	P49711	CTCF	537	1966
chr7	149422481	149422512	P49711	CTCF	505	1966
chr3	52447204	52447229	P49711	CTCF	540	1966
chr8	102811031	102811060	P49711	CTCF	537	1966
chr9	127785119	127785144	P49711	CTCF	524	1966
chr19	43785488	43785511	P49711	CTCF	537	1965
chr1	112369844	112369869	P49711	CTCF	536	1965
chr11	62542935	62542960	P49711	CTCF	534	1964
chr11	119481514	119481543	P49711	CTCF	535	1964
chr1	211698651	211698676	P49711	CTCF	534	1964
chr11	2531559	2531582	P49711	CTCF	533	1963
chr8	141386929	141386954	P49711	CTCF	534	1962
chr7	22560039	22560064	P49711	CTCF	536	1962
chr2	120695774	120695801	P49711	CTCF	524	1962
chr3	46630123	46630148	P49711	CTCF	522	1962
chr6	43769625	43769648	P49711	CTCF	539	1962
chr3	134308544	134308567	P49711	CTCF	539	1961
chr2	99559250	99559273	P49711	CTCF	541	1961
chr7	131689292	131689315	P49711	CTCF	539	1960
chr15	45714685	45714712	P49711	CTCF	526	1960
chr12	53213467	53213492	P49711	CTCF	537	1959
chr3	184017545	184017582	P49711	CTCF	526	1959
chr20	39048231	39048254	P49711	CTCF	536	1959
chr9	133144595	133144626	P49711	CTCF	533	1958
chr19	33795450	33795483	P49711	CTCF	521	1958
chr17	50273307	50273344	P49711	CTCF	523	1958
chr3	138936357	138936394	P49711	CTCF	525	1958
chr2	219277841	219277864	P49711	CTCF	537	1958
chr17	74744768	74744791	P49711	CTCF	538	1958
chr6	41028150	41028175	P49711	CTCF	528	1957
chr17	40560443	40560466	P49711	CTCF	537	1957
chr17	7437125	7437152	P49711	CTCF	499	1957
chr22	46006492	46006531	P49711	CTCF	536	1956
chr1	44036750	44036773	P49711	CTCF	531	1956
chr7	50418215	50418240	P49711	CTCF	533	1955
chr6	166275851	166275876	P49711	CTCF	535	1955
chr7	106660196	106660226	P49711	CTCF	511	1955
chr5	177491640	177491669	P49711	CTCF	505	1955
chr14	55051560	55051591	P49711	CTCF	531	1955
chr3	15202853	15202876	P49711	CTCF	539	1954
chr16	11257446	11257469	P49711	CTCF	529	1954
chr20	25294622	25294647	P49711	CTCF	523	1954
chr12	6038279	6038304	P49711	CTCF	526	1953
chr2	98385251	98385274	P49711	CTCF	542	1953
chr7	35038020	35038045	P49711	CTCF	518	1953
chr11	2888549	2888572	P49711	CTCF	541	1953
chr5	132063607	132063630	P49711	CTCF	537	1953
chr1	201513134	201513159	P49711	CTCF	544	1952
chr15	101007141	101007164	P49711	CTCF	538	1952
chr10	80505738	80505767	P49711	CTCF	538	1952
chr1	230167556	230167591	P49711	CTCF	523	1951
chr15	41989682	41989705	P49711	CTCF	538	1951
chr6	41319016	41319039	P49711	CTCF	540	1951
chr8	27426352	27426375	P49711	CTCF	538	1951
chr21	31866209	31866240	P49711	CTCF	530	1950
chr14	99629015	99629040	P49711	CTCF	538	1950
chr6	30131195	30131218	P49711	CTCF	540	1950
chr11	124876398	124876440	P49711	CTCF	503	1950
chr2	19863543	19863572	P49711	CTCF	533	1950
chr3	50614252	50614275	P49711	CTCF	536	1949
chr3	136752396	136752421	P49711	CTCF	538	1949
chr11	10933893	10933918	P49711	CTCF	539	1949
chr2	9142886	9142909	P49711	CTCF	535	1948
chr2	17830718	17830747	P49711	CTCF	513	1947
chr10	122142970	122143001	P49711	CTCF	534	1947
chr18	45212921	45212944	P49711	CTCF	534	1947
chr22	42169136	42169159	P49711	CTCF	533	1947
chr1	222455304	222455327	P49711	CTCF	533	1946
chr19	1445328	1445353	P49711	CTCF	522	1946
chr16	66270600	66270631	P49711	CTCF	526	1946
chr8	73174496	73174519	P49711	CTCF	538	1946
chr2	75640703	75640726	P49711	CTCF	536	1946
chr3	138068751	138068774	P49711	CTCF	535	1945
chr20	63496258	63496293	P49711	CTCF	532	1945
chr5	139775267	139775292	P49711	CTCF	532	1945
chr3	185660594	185660617	P49711	CTCF	538	1944
chr10	71209223	71209248	P49711	CTCF	532	1944
chr3	46923666	46923699	P49711	CTCF	523	1944
chr10	77174044	77174081	P49711	CTCF	530	1944
chr19	35044510	35044541	P49711	CTCF	537	1944
chr16	87850136	87850163	P49711	CTCF	536	1944
chr8	52008648	52008671	P49711	CTCF	538	1943
chr17	27603332	27603355	P49711	CTCF	539	1943
chr12	50056153	50056184	P49711	CTCF	537	1943
chr5	111158293	111158316	P49711	CTCF	536	1943
chr22	44736017	44736048	P49711	CTCF	534	1943
chr4	151362865	151362888	P49711	CTCF	538	1943
chr15	74127687	74127710	P49711	CTCF	534	1943
chr8	56242101	56242124	P49711	CTCF	537	1942
chr3	115819954	115819977	P49711	CTCF	529	1942
chr1	41516265	41516293	P49711	CTCF	528	1942
chr1	203338605	203338628	P49711	CTCF	535	1942
chr12	57459247	57459272	P49711	CTCF	535	1942
chr6	146857617	146857640	P49711	CTCF	537	1942
chr13	52968278	52968303	P49711	CTCF	532	1942
chr20	36203001	36203026	P49711	CTCF	536	1942
chr9	97387130	97387157	P49711	CTCF	541	1942
chr7	100559949	100559974	P49711	CTCF	538	1941
chr1	205485670	205485699	P49711	CTCF	539	1941
chr3	184803449	184803472	P49711	CTCF	534	1940
chr3	192444689	192444712	P49711	CTCF	535	1940
chr1	159798994	159799025	P49711	CTCF	535	1940
chr17	43678075	43678100	P49711	CTCF	537	1940
chr16	22206144	22206171	P49711	CTCF	523	1940
